V1,V2,DOI,V3,V4,V5,C_ALPHAN,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,SEX,AGE,MARITAL,COHAB,EDUCYRS,DEGREE,AT_DEGR,AU_DEGR,BE_DEGR,CH_DEGR,CL_DEGR,CY_DEGR,CZ_DEGR,DE_DEGR,DK_DEGR,DO_DEGR,ES_DEGR,FI_DEGR,FR_DEGR,GB_DEGR,HR_DEGR,HU_DEGR,IE_DEGR,IL_DEGR,IT_DEGR,JP_DEGR,KR_DEGR,LV_DEGR,MX_DEGR,NIR_DEGR,NL_DEGR,NO_DEGR,NZ_DEGR,PH_DEGR,PL_DEGR,PT_DEGR,RU_DEGR,SE_DEGR,SI_DEGR,SK_DEGR,TR_DEGR,TW_DEGR,UA_DEGR,US_DEGR,UY_DEGR,VE_DEGR,ZA_DEGR,WRKST,WRKHRS,ISCO88,WRKTYPE,NEMPLOY,WRKSUP,UNION,SPWRKST,SPISCO88,SPWRKTYP,AT_RINC,AU_RINC,BE_RINC,CH_RINC,CL_RINC,CY_RINC,CZ_RINC,DE_RINC,DK_RINC,DO_RINC,ES_RINC,FI_RINC,FR_RINC,GB_RINC,HR_RINC,HU_RINC,IE_RINC,IL_RINC,IT_RINC,JP_RINC,KR_RINC,LV_RINC,MX_RINC,NIR_RINC,NL_RINC,NO_RINC,NZ_RINC,PH_RINC,PL_RINC,PT_RINC,RU_RINC,SE_RINC,SI_RINC,SK_RINC,TR_RINC,TW_RINC,UA_RINC,US_RINC,UY_RINC,VE_RINC,ZA_RINC,AT_INC,AU_INC,BE_INC,CH_INC,CL_INC,CY_INC,CZ_INC,DE_INC,DK_INC,DO_INC,ES_INC,FI_INC,FR_INC,GB_INC,HR_INC,HU_INC,IE_INC,IL_INC,IT_INC,JP_INC,KR_INC,LV_INC,MX_INC,NIR_INC,NL_INC,NO_INC,NZ_INC,PH_INC,PL_INC,PT_INC,RU_INC,SE_INC,SI_INC,SK_INC,TR_INC,TW_INC,UA_INC,US_INC,UY_INC,VE_INC,ZA_INC,HOMPOP,HHCYCLE,PARTY_LR,AT_PRTY,AU_PRTY,BE_PRTY,CH_PRTY,CL_PRTY,CY_PRTY,CZ_PRTY,DE_PRTY,DK_PRTY,DO_PRTY,ES_PRTY,FI_PRTY,FR_PRTY,GB_PRTY,HR_PRTY,HU_PRTY,IE_PRTY,IL_PRTY,IT_PRTY,JP_PRTY,KR_PRTY,LV_PRTY,MX_PRTY,NIR_PRTY,NL_PRTY,NO_PRTY,NZ_PRTY,PH_PRTY,PL_PRTY,PT_PRTY,RU_PRTY,SE_PRTY,SI_PRTY,SK_PRTY,TR_PRTY,TW_PRTY,UA_PRTY,US_PRTY,UY_PRTY,VE_PRTY,ZA_PRTY,VOTE_LE,RELIG,RELIGGRP,ATTEND,ATTD_EXT,TOPBOT,AT_REG,AU_REG,BE_REG,CH_REG,CL_REG,CY_REG,CZ_REG,DE_REG,DK_REG,DO_REG,ES_REG,FI_REG,FR_REG,GB_REG,HR_REG,HU_REG,IE_REG,IL_REG,IT_REG,JP_REG,KR_REG,LV_REG,MX_REG,NL_REG,NO_REG,NZ_REG,PH_REG,PL_REG,PT_REG,RU_REG,SE_REG,SI_REG,SK_REG,TR_REG,TW_REG,UA_REG,US_REG,UY_REG,VE_REG,ZA_REG,AT_SIZE,AU_SIZE,BE_SIZE,CH_SIZE,CL_SIZE,CY_SIZE,CZ_SIZE,DE_SIZE,DK_SIZE,DO_SIZE,ES_SIZE,FI_SIZE,FR_SIZE,GB_SIZE,HR_SIZE,HU_SIZE,IE_SIZE,IL_SIZE,IT_SIZE,JP_SIZE,KR_SIZE,LV_SIZE,MX_SIZE,NL_SIZE,NO_SIZE,NZ_SIZE,PH_SIZE,PL_SIZE,PT_SIZE,RU_SIZE,SE_SIZE,SI_SIZE,SK_SIZE,TR_SIZE,TW_SIZE,UA_SIZE,US_SIZE,UY_SIZE,VE_SIZE,ZA_SIZE,URBRURAL,ETHNIC,MODE,SUBSCASE,WEIGHT
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,34,191,191,HR,4,8,1,4,1,1,1,4,3,1,3,4,3,4,4,2,5,2,8,1,1,1,1,3,4,2,4,6,4,2,1,4,2,8,8,4,1,4,2,2,2,1,100,2,100,2,100,2,997,0,4,4,8,6,1,1,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,70,5,2,10.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7433,4,9995,0,3,0,0,0,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,2300,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2300,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,34,40,40,AT,2,4,1,2,4,1,5,3,3,3,2,2,2,4,2,2,8,8,3,4,3,2,2,8,8,4,4,6,0,1,2,2,2,8,8,3,8,4,4,5,2,5,100,2,100,2,100,2,100,2,8,8,8,10,4,1,3,3,2,2,2,2,2,2,0,0,2,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,2,65,1,0,10.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,6100,4,0,2,3,7,0,0,750,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1950,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,2,8,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,22,0,2.219044
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,34,196,196,CY,2,2,1,1,4,1,1,4,3,3,2,3,2,3,2,4,4,3,2,2,4,1,1,2,2,2,1,6,4,2,2,2,2,4,4,4,1,4,4,4,2,2,310,4,310,4,310,4,997,0,6,4,8,1,1,1,4,3,2,2,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,35,5,2,18.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49,2224,3,0,2,3,0,0,0,999990,999990,999990,999990,9999990,1708,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,3586,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,3,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,4,5,4,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,35,152,152,CL,1,4,4,1,4,1,4,3,3,3,8,5,5,2,1,2,2,2,5,2,1,1,1,1,8,4,4,6,4,1,1,1,1,3,4,1,1,5,5,5,2,1,100,2,100,2,100,2,100,2,8,4,4,9,1,1,5,3,1,2,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,49,2,2,12.0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3413,3,0,2,2,0,0,0,999990,999990,999990,999990,310000,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999999,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,3,6,7,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,7,2,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.0,11,1,0.85100001096
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,35,203,203,CZ,3,4,4,1,3,3,1,2,3,3,5,3,2,4,1,1,5,5,1,1,1,1,5,1,1,4,1,1,2,4,4,4,4,4,1,4,5,5,5,5,1,5,100,2,100,2,0,1,997,0,1,3,6,1,1,2,1,5,3,1,5,5,5,5,2,0,1,0,5,5,3,5,8,8,8,8,5,0,0,0,0,0,0,1,77,5,2,12.0,3,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3416,3,0,1,2,0,0,0,999990,999990,999990,999990,9999990,999990,14250,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,15000,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,2,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,1,7,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,11,0,1.158797853
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,35,191,191,HR,1,1,1,4,4,4,4,4,5,3,1,5,4,4,1,4,2,2,2,2,2,2,2,1,1,4,4,3,4,4,4,4,4,4,4,4,5,2,4,3,2,1,100,2,100,2,100,2,100,2,8,4,9,4,1,1,3,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60,1,0,12.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7141,3,0,0,2,7,9320,2,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,1562,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,4500,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,35,40,40,AT,2,4,1,3,8,8,4,3,4,4,3,2,3,2,1,1,5,3,2,2,3,4,2,2,2,2,2,6,0,2,8,8,2,4,4,2,1,5,1,5,1,2,100,2,100,2,100,2,100,2,3,6,4,10,4,1,3,3,1,2,1,3,1,1,0,0,1,0,0,0,0,0,4,4,2,3,0,0,0,0,0,0,0,2,52,1,0,17.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,4110,3,0,2,3,1,0,0,0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,4500,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,4,11,9,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,100,2,3,6,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,0,0.382873
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,35,196,196,CY,2,4,1,1,8,1,5,3,4,5,4,3,3,1,3,3,2,2,2,3,3,2,2,2,2,2,2,1,2,4,4,4,4,4,3,4,5,3,5,5,1,5,310,4,310,4,310,4,310,4,4,4,7,1,1,1,3,6,3,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,57,1,0,16.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,50,2142,4,2,1,2,1,2142,4,999990,999990,999990,999990,9999990,6839,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,6839,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,3,9,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,310,4,8,1,9,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,36,152,152,CL,3,1,1,1,1,1,1,4,1,1,1,3,3,3,1,1,1,8,1,1,4,1,1,4,1,1,1,6,4,1,1,4,1,2,8,1,1,2,1,1,1,1,100,2,100,2,100,2,295,3,98,98,3,10,3,2,3,3,4,2,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,70,1,0,8.0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,70,8324,4,6,2,3,1,5230,4,999990,999990,999990,999990,250000,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,250000,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,5,4,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,1,0.68800002336
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,36,203,203,CZ,2,3,1,1,1,1,1,3,3,3,1,3,3,4,4,4,2,1,5,5,5,5,5,3,4,1,1,6,4,1,1,1,1,4,4,4,1,1,1,5,5,5,100,2,100,2,100,2,100,2,9,8,8,10,4,1,4,2,1,3,1,1,1,1,2,0,2,0,9,1,1,9,4,1,1,1,4,0,0,0,0,0,0,1,76,1,0,10.0,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1311,3,0,1,3,7,6111,3,999990,999990,999990,999990,9999990,999990,8250,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,17000,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,2,8,5,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.0,11,0,0.8540793917
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,36,191,191,HR,2,4,1,1,4,1,5,3,5,4,2,3,4,2,3,4,4,2,2,2,3,2,1,2,2,2,2,6,4,1,1,1,1,4,4,4,1,4,2,5,2,4,100,2,100,2,100,2,999,99,3,3,8,10,3,1,3,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,53,9,9,16.0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,3433,1,0,1,9,99,9999,9,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999998,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,13000,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,100,2,4,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,11,0,1.0
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,36,40,40,AT,2,3,2,3,4,3,5,3,4,4,5,3,3,1,1,1,4,4,2,2,3,3,2,8,8,3,2,4,0,3,8,8,3,3,3,2,4,4,5,5,2,3,100,2,100,2,100,2,997,0,98,4,5,3,1,2,1,5,3,2,3,3,3,8,0,0,2,0,0,0,0,0,3,4,2,8,0,0,0,0,0,0,0,1,45,5,2,17.0,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,15,2420,4,1,1,3,0,0,0,750,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999998,999990,999990,999990,9999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,2,5,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,100,2,8,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,22,0,0.503252
4950,2.3.0 (2018-10-26),DOI:10.4232/1.13161,36,196,196,CY,2,3,2,2,2,2,3,2,3,4,2,2,2,1,3,3,4,3,2,3,2,3,2,2,2,2,2,6,4,1,1,1,1,4,3,3,1,4,3,5,2,4,310,4,310,4,310,4,997,0,7,7,7,10,2,1,4,2,2,2,2,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,28,5,2,18.0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,40,2139,3,0,1,3,0,0,0,999990,999990,999990,999990,9999990,3586,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990.0,999990,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,3586,999990,999990,9999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,99999990,99999990,999990,999990,999990,999990,99999990,999990,999990,999990,999990,999990,999990,999990,999990,999990,9999990,999990,999990,999990,999990,999990,1,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,310,4,2,7,7,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39.0,10,0,1.0
